iter	Logloss
0	0.6334315392
1	0.5931601952
2	0.5597191422
3	0.5373378291
4	0.5147185014
5	0.5013200482
6	0.4859566683
7	0.4743049836
8	0.4661511604
9	0.4591247558
10	0.4531990458
11	0.4483273582
12	0.4447026239
13	0.4414413349
14	0.4385918581
15	0.4356446039
16	0.4322641323
17	0.4300952763
18	0.4278942908
19	0.4264498976
20	0.4251329482
21	0.4240522359
22	0.4225431425
23	0.421618657
24	0.4207676409
25	0.4198114272
26	0.418691307
27	0.4181059113
28	0.4171745759
29	0.4164304345
30	0.4159522834
31	0.4152389161
32	0.4145501843
33	0.4138935663
34	0.4129791558
35	0.4120232497
36	0.4114637287
37	0.4111081602
38	0.410477105
39	0.4101799876
40	0.4099188291
41	0.4094846246
42	0.4092060232
43	0.4088741773
44	0.4082137055
45	0.4077427677
46	0.4075463387
47	0.4072408573
48	0.4070765214
49	0.4067328103
50	0.406448583
51	0.4061731686
52	0.4059677533
53	0.4057433478
54	0.4056280443
55	0.4054029506
56	0.4052748193
57	0.4050201553
58	0.404785203
59	0.4045461577
60	0.4042182784
61	0.4040042045
62	0.4038270556
63	0.4036486418
64	0.4034814333
65	0.4033572762
66	0.4031992358
67	0.4030359826
68	0.4029128301
69	0.4027703457
70	0.4026278824
71	0.4023427731
72	0.4022034802
73	0.4020188842
74	0.4018400439
75	0.4016749911
76	0.4015492436
77	0.4014382901
78	0.4012523194
79	0.4011572106
80	0.4010244882
81	0.4007996909
82	0.4004779015
83	0.4003395559
84	0.4002408995
85	0.4000428412
86	0.3998384016
87	0.3996128138
88	0.3992625358
89	0.3990433036
90	0.3989115128
91	0.3986623411
92	0.3985339011
93	0.3983085196
94	0.3981248216
95	0.3979105692
96	0.3976809063
97	0.3974874805
98	0.3972927759
99	0.397112341
100	0.3967631699
101	0.3966035577
102	0.396406719
103	0.3962440699
104	0.3960713596
105	0.3959071587
106	0.3957962411
107	0.3956458201
108	0.3954998745
109	0.395265397
110	0.3949814639
111	0.3947370638
112	0.3945476027
113	0.3944257083
114	0.3941175343
115	0.3939423395
116	0.3937686843
117	0.393572285
118	0.393293733
119	0.3930051703
120	0.39263433
121	0.3925253154
122	0.3923414428
123	0.3922092215
124	0.3919536534
125	0.3916372337
126	0.3913452443
127	0.3911536615
128	0.3910030091
129	0.3908765171
130	0.3906773855
131	0.3904975712
132	0.3903769806
133	0.3901488976
134	0.3898861034
135	0.3895873624
136	0.3894899533
137	0.3892483226
138	0.3890151704
139	0.3887761589
140	0.3885474482
141	0.3883524727
142	0.3881584035
143	0.3879282758
144	0.3877347187
145	0.3875716958
146	0.3872689003
147	0.3871211846
148	0.3869036823
149	0.3868326832
150	0.3866812036
151	0.3865440731
152	0.386320437
153	0.3861991819
154	0.386073282
155	0.3858521416
156	0.385712935
157	0.3855137647
158	0.3853024209
159	0.3851473601
160	0.384912566
161	0.3847818266
162	0.38457427
163	0.3843761196
164	0.3841485151
165	0.3839270266
166	0.3837227982
167	0.3835886129
168	0.383351417
169	0.3832016305
170	0.3830840191
171	0.382931546
172	0.3828154171
173	0.3826549299
174	0.3824191817
175	0.3821933468
176	0.3821101851
177	0.3819186587
178	0.3817860783
179	0.3816779933
180	0.381514052
181	0.3813545803
182	0.3811744918
183	0.38103886
184	0.3809305693
185	0.3807738592
186	0.3806719944
187	0.3804802686
188	0.3803211601
189	0.3801747179
190	0.3799582511
191	0.379808635
192	0.379749875
193	0.3796391299
194	0.3795439956
195	0.3793897994
196	0.3792397095
197	0.379114405
198	0.3789439414
199	0.3788445951
